nit_entidad,orden_entidad,num_contratos,val_contratos,val_contratos_media,val_contratos_median,val_contratos_desv,num_familias_dif,num_grupos_dif,num_contratistas_dif,pnum_cont_cerrada,pval_cont_cerrada,pnum_ganadoras,IRCC,IRCCG,adicion
891982129,5,789,13128695441,16639664.690747783,7200000,43164836.55018432,43,4,342,11.02661596958175,9.997327106096893,43.346007604562736,7.1296362915212095,Bajo,5.390710643202984
892000264,5,3790,70586701052,18624459.380474932,4800000,466139188.69005984,80,4,837,0,0,22.0844327176781,17.290016096081366,Bajo,16.164877733139303
892000458,4,520,10366055667,19934722.43653846,12000000,21368597.758164104,33,4,206,0,0,39.61538461538461,4.743411119026667,Bajo,18.14350933794527
892000501,5,17755,493843702678,27814345.40568854,4169037,604251770.6135664,104,4,2492,0,0,14.035482962545762,9.584270298057042,Bajo,10.294562386122742
892001990,5,649,6587363287,10150020.47303544,5400000,32773708.701465122,45,4,226,0.15408320493066258,0.7969804869211854,34.82280431432974,8.36649811593758,Bajo,11.361170116370383
892115009,5,6416,60104827743,9367959.436253117,3000000,30566891.190435752,35,4,1002,22.4283042394015,23.175940875435444,15.61720698254364,3.6558758673406495,Bajo,0.09863986467776668
892115010,5,2323,128432138304,55287188.249677144,14000000,239052487.8482117,79,4,516,5.07963839862247,9.42048019737999,22.212656048213518,12.617513741031154,Bajo,0.0661108594935486
892115347,5,17,1827028492,107472264.23529412,79357000,119571423.89729746,11,3,15,0,0,88.23529411764706,28.21039996333965,Bajo,0
892120115,6,3326,54578491032,16409648.536380036,5986512.5,58066231.63788366,18,3,917,0.03006614552014432,2.7483354186551856,27.57065544197234,6.329529689625523,Bajo,0.824006719615946
892170002,4,1528,5969123407,3906494.3763089003,1500000,11680517.661610387,35,4,254,0,0,16.623036649214658,7.036540333751946,Bajo,0.29305274775597173
892280033,5,1146,169210679304,147653297.82198954,36318860,313104477.74344474,101,4,341,95.89877835951134,97.3298709581546,29.75567190226876,12.561470272073015,Bajo,0.14542487186742306
892300175,4,590,11935994027,20230498.350847457,9000000,55356033.79404785,62,4,220,0,0,37.28813559322034,12.264237747594128,Bajo,7.289329300613561
892300179,5,689,18114986250,26291707.18432511,7000000,96502646.97007577,83,4,319,5.079825834542816,3.9434489330622595,46.29898403483309,19.44347138428532,Bajo,0.13501327878868155
892300209,4,425,2282370850,5370284.352941177,3300000,4451675.868014681,28,3,114,0,0,26.823529411764707,7.433268600878543,Bajo,0
892300343,5,583,3674848666,6303342.480274443,3333332,11080750.028315865,27,3,178,16.80960548885077,25.075835299716804,30.53173241852487,6.445645080492825,Bajo,0.2358091591057881
892300358,6,1842,16710095032,9071712.829533117,3000000,55157770.34308118,33,3,456,3.0944625407166124,3.6113722803153476,24.7557003257329,10.450102471897235,Bajo,0
892300387,5,389,5780397748,14859634.313624678,6000000,32363379.43974701,11,4,181,100,100,46.52956298200514,18.01588454743787,Bajo,0
892399994,4,1373,241592284150,175959420.35688275,59400000,418641108.2439578,85,4,217,0,0,15.804806991988347,20.954677479252943,Bajo,28.314277136035155
897001459-4,5,2300,42100907032,18304742.187826086,6883860,39864561.15622205,106,4,513,99.65217391304347,97.29763730948778,22.304347826086957,9.220252232532214,Bajo,5.979651534822857
899999032,5,5030,825380150690,164091481.250497,32300000,853180755.1314826,160,5,1056,0,0,20.994035785288272,8.703531631521232,Bajo,25.468565270866186
899999147,4,3838,47350088866,12337177.922355393,4400000,29177760.039886765,89,4,630,0,0,16.41479937467431,4.711040057072817,Bajo,7.553007198367377
899999150,5,863,8493705170,9842068.563151795,4800000,49054929.542064615,51,4,255,0,0,29.54808806488992,11.492800707822868,Bajo,6.858620600811109
899999151,5,3804,209357938888,55036261.53732913,9477000,233956543.92065254,120,4,756,2.0767613038906414,7.721706022644936,19.873817034700316,10.182171658457042,Bajo,23.632130158945433
899999156,5,4135,34666271982,8383620.793712213,4000000,53041598.98014626,10,4,716,0.14510278113663846,0.06478919917221573,17.31559854897219,6.151793282903335,Bajo,0.4178928007280085
899999158,5,2497,15010729481,6011505.599118942,2800000,17489934.918107983,68,4,583,6.567881457749299,6.745306963806179,23.348017621145374,4.343710256294912,Bajo,18.33083804625552
899999161,5,553,8443777036,15269036.231464738,5500000,166523319.99688572,56,4,144,0.9041591320072333,0.1219359530231916,26.03978300180832,21.060649301823332,Bajo,16.67819696884953
899999163,5,1696,34989911566,20630844.083726414,5442500,64484113.904697366,90,4,428,12.264150943396226,10.559873153810303,25.235849056603776,7.95426421621566,Bajo,7.550201377818168
899999164,6,1399,14782567477,10566524.286633309,5100000,37793641.96820358,53,4,490,1.7155110793423873,5.8590228277163305,35.025017869907074,7.048095930178235,Bajo,0.22282272232008546
900000410,5,1265,4230740439,3344458.8450592887,2190000,6881300.171630973,44,4,250,0,0,19.76284584980237,7.187622631641746,Bajo,0
900000427,6,405,2909516466,7183991.274074074,5000000,10654635.679653244,29,4,136,0,0,33.58024691358025,9.817864749251987,Bajo,9.36632209658783
900000615,4,446,3067849791,6878586.975336323,4161500,11650720.083006658,38,4,142,0,0,31.838565022421523,10.553272179154431,Bajo,13.264497795772376
900004059,5,1326,10558510236,7962677.402714932,5100000,8865779.913035396,2,2,336,98.19004524886877,98.80556065977942,25.339366515837103,3.622304274975102,Bajo,23.12308224279133
900004894,5,1501,67820063847,45183253.72884744,15000000,259070999.4421026,90,4,382,0.13324450366422386,0.009171327255061468,25.449700199866754,13.576553091892158,Bajo,19.091974303650215
900004916,5,50,235440359,4708807.18,4010249.5,3159234.169821293,1,4,23,0,0,46,27.378375322219792,Bajo,0.6059928727003003
900005067,5,369,5782622507,15671063.704607045,6000000,42885301.43306567,49,4,169,0,0,45.799457994579946,11.780658245215903,Bajo,16.70318005946361
900005594,5,984,26797459026,27233190.06707317,7200000,207927274.37760624,60,4,365,0,0,37.09349593495935,13.570112333632688,Bajo,0
900006037,5,2368,807766577393,341117642.480152,68440000,1534297587.2288601,123,4,611,0.7601351351351352,0.29297027027755157,25.802364864864863,17.09073264337257,Bajo,15.181706455762034
900014225,6,1185,4227949699,3567890.041350211,2213160,6655361.233565839,75,4,275,0,0,23.20675105485232,6.36990419602255,Bajo,0.1536091785392777
900017892,5,602,2900742047,4818508.383720931,2700000,7989682.9843111085,1,1,187,0,0,31.06312292358804,10.141896464811444,Bajo,0
900034131,6,19769,104630554134,5292657.905508624,1720000,95136814.8111994,75,4,1705,0,0,8.624614295108502,5.978803996429222,Bajo,0.7320979736489863
